Latitude, Longitute, center count 
39.28615073,-76.59436694,4552
39.282587,-76.57733869,1419
39.29693542,-76.68284831,1325
39.23291783,-76.56764631,16
39.31921839,-76.61938819,3017
39.34196269,-76.58637389,867
39.333264,-76.7064814,447
39.30883669,-76.70767986,321
39.34555821,-76.59925369,1558
39.35957306,-76.64863216,421
39.34765136,-76.59198704,870
39.27915429,-76.60911519,540
39.27090869,-76.67399636,1531
39.29187357,-76.67598904,3372
39.35701697,-76.56838315,389
39.35419398,-76.70440773,984
39.33533415,-76.60754351,1534
39.33226829,-76.64887571,377
39.27146962,-76.53308371,825
39.3279245,-76.56347343,2373
39.36711107,-76.70947205,158
39.27792916,-76.73339698,27
39.36326053,-76.55300528,869
39.30311604,-76.57366485,3076
39.28865484,-76.70578282,193
39.3460228,-76.71074504,1054
39.33093849,-76.66127053,1619
39.251658,-76.692721,94
39.27599975,-76.6142589,2253
39.36644529,-76.57027665,432
39.27331056,-76.60583015,549
39.23414462,-76.59667506,1009
39.26338925,-76.65618894,583
39.33691391,-76.68358088,1022
39.1978693,-76.6091487,26
39.2749118,-76.69291,541
39.32159419,-76.59135059,1707
39.32073017,-76.55460189,1159
39.32584357,-76.68430193,1500
39.28306525,-76.67107613,1627
39.368775,-76.717581,1
39.35850431,-76.62374159,222
39.35744779,-76.60064201,608
39.25974061,-76.53159998,199
39.2423218,-76.6756042,364
39.36725574,-76.64136008,25
39.2974913,-76.70924226,226
39.35869631,-76.6809305,477
39.23491858,-76.59999078,1331
39.27046541,-76.59188474,257
39.27757117,-76.66159859,2134
39.29581073,-76.66486285,3741
39.209275,-76.642048,2
39.2707377,-76.6122194,859
39.19414586,-76.59453488,238
39.28172131,-76.7070714,288
39.28462716,-76.67886627,486
39.31622343,-76.65181209,2073
39.31153122,-76.61414222,4908
39.36236917,-76.59406845,897
39.35228616,-76.6086369,730
39.28287375,-76.69261233,1310
39.2307925,-76.59129618,951
39.32823095,-76.63027809,678
39.29335989,-76.69044182,1466
39.3374927,-76.65935793,911
39.34505899,-76.64856525,866
39.33501401,-76.6286544,410
39.32359895,-76.60108413,2133
39.28034928,-76.69863548,588
39.32999444,-76.53592936,1762
39.25358422,-76.64858306,972
39.31734299,-76.54263867,1514
39.29081045,-76.61000018,10282
39.26754145,-76.68354786,299
39.31212455,-76.66970743,1844
39.20859026,-76.5732741,16
39.36687162,-76.6539867,122
39.30955451,-76.5359531,644
39.34450781,-76.62448062,352
39.28191772,-76.68464758,1242
39.35694781,-76.60961468,759
39.352689,-76.6351609,155
39.36854151,-76.64787724,60
39.32852733,-76.58026462,423
39.34484119,-76.60895545,537
39.27882033,-76.5679143,1024
39.33185876,-76.61862971,804
39.3670462,-76.62163465,169
39.29493176,-76.57351349,4075
39.33940291,-76.66674966,2422
39.36955635,-76.6933162,323
39.28751285,-76.62704313,2866
39.25061625,-76.6229145,1181
39.2684885,-76.60078141,328
39.36385779,-76.61468553,285
39.31366424,-76.641974,1558
39.30852936,-76.6579494,2264
39.27919672,-76.54645508,1056
39.34958171,-76.56147056,909
39.35591092,-76.58012379,746
39.32420521,-76.54638594,2376
39.34537306,-76.66146723,884
39.35225402,-76.53709469,949
39.2861529,-76.63583671,6914
39.30336655,-76.72847767,95
39.205635,-76.665909,1
39.23348049,-76.57834276,16
39.28914756,-76.56751217,4580
39.33931307,-76.63630161,517
39.30222197,-76.60715801,3525
39.33155872,-76.63677293,911
39.23760271,-76.61059702,1251
39.30796591,-76.64680656,4236
39.31002876,-76.58733154,4832
39.25395462,-76.69670343,32
39.20171189,-76.55749681,49
